panel,held_out,method,budget,level,mae_pp,summary
e,IGTB1650,music_nnls,120,ratio2,10.168496002640664,donor
e,IGTB1650,music_nnls,120,ratio4,10.022749501266356,donor
e,IGTB1650,music_nnls,120,ratio10,10.160864432604512,donor
e,IGTB195,music_nnls,120,balanced,9.029431507506755,donor
e,IGTB195,music_nnls,120,ratio2,8.771815062680142,donor
e,IGTB195,music_nnls,120,ratio4,8.483092899176347,donor
e,IGTB195,music_nnls,120,ratio10,8.611955701848162,donor
e,IGTB1913,music_nnls,120,balanced,9.165824967398288,donor
e,IGTB1913,music_nnls,120,ratio2,9.311274154649158,donor
e,IGTB1913,music_nnls,120,ratio4,9.34971544345999,donor
e,IGTB1913,music_nnls,120,ratio10,9.30089583120591,donor
e,HC-572,music_nnls,120,balanced,11.959117339036364,donor
e,HC-572,music_nnls,120,ratio2,11.73687594640172,donor
e,HC-572,music_nnls,120,ratio4,11.575208604630532,donor
e,HC-572,music_nnls,120,ratio10,11.291540215790008,donor
e,HC-014,music_nnls,120,balanced,11.837684618099102,donor
e,HC-014,music_nnls,120,ratio2,11.800923209724372,donor
e,HC-014,music_nnls,120,ratio4,11.889253204590174,donor
e,HC-014,music_nnls,120,ratio10,11.779944948367737,donor
e,IGTB1921,music_nnls,120,balanced,6.798951165824828,donor
e,IGTB1921,music_nnls,120,ratio2,6.78072976285101,donor
e,IGTB1921,music_nnls,120,ratio4,6.794651800198311,donor
e,IGTB1921,music_nnls,120,ratio10,7.140709784580576,donor
e,IGTB826,music_nnls,120,balanced,7.503213364661009,donor
e,IGTB826,music_nnls,120,ratio2,7.529843257919293,donor
e,IGTB826,music_nnls,120,ratio4,7.581022442425775,donor
e,IGTB826,music_nnls,120,ratio10,7.3813840841898255,donor
e,IGTB1966,music_nnls,120,balanced,11.0202397728689,donor
e,IGTB1966,music_nnls,120,ratio2,11.260253415055343,donor
e,IGTB1966,music_nnls,120,ratio4,10.944027549752978,donor
e,IGTB1966,music_nnls,120,ratio10,10.751238578178544,donor
e,IGTB498,music_nnls,120,balanced,6.270309408314137,donor
e,IGTB498,music_nnls,120,ratio2,6.517258991433804,donor
e,IGTB498,music_nnls,120,ratio4,6.72487673906844,donor
e,IGTB498,music_nnls,120,ratio10,7.0924458283383975,donor
e,mean,music_nnls,120,balanced,8.590072879459088,mean
e,mean,music_nnls,120,ratio2,8.62426821796864,mean
e,mean,music_nnls,120,ratio4,8.588043176569728,mean
e,mean,music_nnls,120,ratio10,8.656118800582018,mean
f,HC-502,music_nnls,300,balanced,10.32204813997024,donor
f,HC-502,music_nnls,300,ratio2,10.426616428243587,donor
f,HC-502,music_nnls,300,ratio4,10.418397159991306,donor
f,HC-502,music_nnls,300,ratio10,10.299364299040738,donor
f,IGTB256,music_nnls,300,balanced,6.022850961940342,donor
f,IGTB256,music_nnls,300,ratio2,6.008745111077637,donor
f,IGTB256,music_nnls,300,ratio4,5.84526050199938,donor
f,IGTB256,music_nnls,300,ratio10,6.072376130998259,donor
f,IGTB514,music_nnls,300,balanced,5.93402924508453,donor
f,IGTB514,music_nnls,300,ratio2,5.978770970501595,donor
f,IGTB514,music_nnls,300,ratio4,6.068363068091039,donor
f,IGTB514,music_nnls,300,ratio10,6.278219000489572,donor
f,IGTB1506,music_nnls,300,balanced,8.182367874541725,donor
f,IGTB1506,music_nnls,300,ratio2,8.030849459461347,donor
f,IGTB1506,music_nnls,300,ratio4,7.910904695409366,donor
f,IGTB1506,music_nnls,300,ratio10,7.89586130378351,donor
f,IGTB508,music_nnls,300,balanced,6.627724268944463,donor
f,IGTB508,music_nnls,300,ratio2,6.691371672326098,donor
f,IGTB508,music_nnls,300,ratio4,6.578256626042181,donor
f,IGTB508,music_nnls,300,ratio10,6.683084155471176,donor
f,IGTB1650,music_nnls,300,balanced,10.13356188468184,donor
f,IGTB1650,music_nnls,300,ratio2,10.11284703267202,donor
f,IGTB1650,music_nnls,300,ratio4,10.146338820118284,donor
f,IGTB1650,music_nnls,300,ratio10,10.170815320354356,donor
f,IGTB195,music_nnls,300,balanced,8.794750070416747,donor
f,IGTB195,music_nnls,300,ratio2,8.862065105220385,donor
f,IGTB195,music_nnls,300,ratio4,9.009416917193803,donor
f,IGTB195,music_nnls,300,ratio10,8.586512136915061,donor
f,IGTB1913,music_nnls,300,balanced,9.398793912154424,donor
f,IGTB1913,music_nnls,300,ratio2,9.390226466585942,donor
f,IGTB1913,music_nnls,300,ratio4,9.34239568867301,donor
f,IGTB1913,music_nnls,300,ratio10,9.461482609312243,donor
f,HC-572,music_nnls,300,balanced,11.897318835954543,donor
f,HC-572,music_nnls,300,ratio2,11.969535262591794,donor
f,HC-572,music_nnls,300,ratio4,11.92911430471786,donor
f,HC-572,music_nnls,300,ratio10,11.46745162260563,donor
f,HC-014,music_nnls,300,balanced,11.849064168776186,donor
f,HC-014,music_nnls,300,ratio2,11.88815706580346,donor
f,HC-014,music_nnls,300,ratio4,11.773250592855046,donor
f,HC-014,music_nnls,300,ratio10,11.740605623305928,donor
f,IGTB1921,music_nnls,300,balanced,7.139272169759355,donor
f,IGTB1921,music_nnls,300,ratio2,7.107568680005456,donor
f,IGTB1921,music_nnls,300,ratio4,7.252213816079316,donor
f,IGTB1921,music_nnls,300,ratio10,6.969812462166802,donor
f,IGTB826,music_nnls,300,balanced,7.830154996027829,donor
f,IGTB826,music_nnls,300,ratio2,7.840722853576668,donor
f,IGTB826,music_nnls,300,ratio4,7.613428316366994,donor
f,IGTB826,music_nnls,300,ratio10,7.627520236611235,donor
f,IGTB1966,music_nnls,300,balanced,10.926004643854078,donor
f,IGTB1966,music_nnls,300,ratio2,11.018794077972723,donor
f,IGTB1966,music_nnls,300,ratio4,11.044719728365706,donor
f,IGTB1966,music_nnls,300,ratio10,11.235621765284227,donor
f,IGTB498,music_nnls,300,balanced,6.5196605211515966,donor
f,IGTB498,music_nnls,300,ratio2,6.460326043540292,donor
f,IGTB498,music_nnls,300,ratio4,6.484480578444964,donor
f,IGTB498,music_nnls,300,ratio10,6.6682308966496215,donor
f,mean,music_nnls,300,balanced,8.684114406661278,mean
f,mean,music_nnls,300,ratio2,8.699042587827071,mean
f,mean,music_nnls,300,ratio4,8.672610058167733,mean
f,mean,music_nnls,300,ratio10,8.654068397356312,mean
